mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rfr__n_estimators,param_rfr__min_samples_split,param_rfr__min_samples_leaf,param_rfr__max_features,param_rfr__max_depth,param_rfr__bootstrap,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_rmae,split1_test_rmae,split2_test_rmae,split3_test_rmae,split4_test_rmae,mean_test_rmae,std_test_rmae,rank_test_rmae
1.1852252006530761,0.031789270870733924,0.05186529159545898,0.0033837052188306627,500,15,10,0.5,10,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 15, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.5, 'rfr__max_depth': 10, 'rfr__bootstrap': False}",-70798.9677784966,-72832.86733605387,-69854.69857812359,-71638.36144384278,-66289.79647770306,-70282.93832284398,2224.147804567963,4,-237.31756631454135,-242.68516942707637,-234.59636371999738,-237.73566968928938,-227.1293278863178,-235.89281940744445,5.099835304990628,3
0.16107554435729982,0.004887252906867757,0.011544227600097656,0.0005164097330453548,100,25,15,0.25,20,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 25, 'rfr__min_samples_leaf': 15, 'rfr__max_features': 0.25, 'rfr__max_depth': 20, 'rfr__bootstrap': False}",-72462.04878713925,-74682.08388110012,-71823.18468708647,-74523.52002797893,-69514.01238281741,-72600.96995322443,1906.871260617122,24,-239.42476699833094,-246.28613304345862,-239.8114498126656,-243.16413729938256,-233.0521701272637,-240.3477314562203,4.417271369998016,24
0.16562790870666505,0.0031415479013795814,0.011962318420410156,0.0008856172624449331,100,15,10,0.25,30,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 15, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.25, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-71687.28652669596,-74146.91801908462,-70697.80727693473,-73811.15458370108,-67722.00066253042,-71613.03341378937,2333.90643121331,15,-238.53695159263725,-245.43811791007136,-237.73876697018142,-241.47756172047858,-230.2445986858029,-238.68719937583433,5.011200014090052,20
0.887740182876587,0.012340383080313695,0.0461735725402832,0.001392396279847679,500,15,5,0.25,20,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 15, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.25, 'rfr__max_depth': 20, 'rfr__bootstrap': False}",-70234.47489182976,-72934.47863851525,-69414.14615991298,-71722.3562326429,-66699.73772810175,-70201.03873020053,2129.109075504645,3,-236.21436891327778,-243.8683267635451,-235.02277408421023,-238.5357192165619,-228.8944148637017,-236.50712076825934,4.8691856667376285,8
0.14395627975463868,0.004954636789207123,0.011800193786621093,0.0006950480648015453,100,25,10,0.25,30,True,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 25, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.25, 'rfr__max_depth': 30, 'rfr__bootstrap': True}",-72940.38678527222,-75399.94203914792,-70913.15760825401,-75435.58457567873,-68964.4110620424,-72730.69641407907,2528.7789499728224,25,-241.03664117595613,-247.30157359624405,-238.35515500360114,-244.43634006943654,-233.52382303122735,-240.93070657529302,4.78297030447222,25
2.517469596862793,0.021952377352424373,0.08271417617797852,0.0035294263047282288,1000,15,5,0.75,20,True,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 15, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.75, 'rfr__max_depth': 20, 'rfr__bootstrap': True}",-70111.28930276379,-72495.31100079473,-70097.1562407924,-71431.51209849204,-66655.82834636181,-70158.21939784096,1967.5337701082642,2,-236.72927755115197,-241.63397331859036,-234.7421286926856,-237.12851731267787,-228.08540441442028,-235.66386025790524,4.409198709611103,2
0.3219450950622559,0.002445054609314024,0.011769390106201172,0.0007477173321841021,100,25,5,0.75,20,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 25, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.75, 'rfr__max_depth': 20, 'rfr__bootstrap': False}",-72529.32301191211,-74102.14637781664,-71673.018459112,-73389.05894840046,-68537.78443151194,-72046.26624575062,1934.5199792259568,19,-240.06744544247124,-243.40040927630392,-235.94124570043996,-239.9135442979315,-230.23860756701845,-237.912250456833,4.50643061951254,14
1.4253667831420898,0.02407593854818597,0.04268989562988281,0.0017287576965656485,500,25,15,0.75,10,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 25, 'rfr__min_samples_leaf': 15, 'rfr__max_features': 0.75, 'rfr__max_depth': 10, 'rfr__bootstrap': False}",-73115.97297409276,-74994.09993772629,-71785.29515175232,-73599.46600923264,-68130.30023427882,-72325.02686141655,2334.9853865136147,21,-241.57206510376426,-245.2709651678666,-236.6866408610249,-240.74777244217987,-229.15148396609007,-238.68578550818515,5.492658306976132,19
1.8975975036621093,0.018870879514441486,0.08413581848144532,0.005747979144404375,1000,15,10,0.5,30,True,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 15, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.5, 'rfr__max_depth': 30, 'rfr__bootstrap': True}",-70823.49931145221,-72618.22038614012,-70093.54231592958,-72037.70187752103,-66679.40216369061,-70450.4732109467,2083.552141631382,9,-237.8733592115639,-242.45006804412975,-236.07770287445965,-238.44514396149884,-227.85637902042936,-236.54053062241627,4.815710023011414,9
1.1688578605651856,0.00950607422122454,0.04355459213256836,0.0012371587385630039,500,25,10,0.5,20,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 25, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.5, 'rfr__max_depth': 20, 'rfr__bootstrap': False}",-70876.70794876298,-72934.47099971306,-69690.35470255489,-71695.97699684459,-66740.17944982593,-70387.53801954028,2108.4333755671846,6,-237.23415135930938,-242.72455582384126,-234.42283565222414,-237.73419160145005,-228.0671956389513,-236.03658601515522,4.799173696465392,5
