mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rfr__n_estimators,param_rfr__min_samples_split,param_rfr__min_samples_leaf,param_rfr__max_features,param_rfr__max_depth,param_rfr__bootstrap,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_rmae,split1_test_rmae,split2_test_rmae,split3_test_rmae,split4_test_rmae,mean_test_rmae,std_test_rmae,rank_test_rmae
0.22709999084472657,0.0064596338190510815,0.01735377311706543,0.0010169339289298996,100,20,5,0.25,30,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.25, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-103659.92344253491,-107978.24254743535,-111049.06525542405,-103362.28942296878,-103538.73889000926,-105917.65191167446,3093.990275559778,43,-286.8625667242266,-289.72140652422877,-293.34857050429287,-281.43609742592497,-291.5289448040779,-288.5795171965502,4.164691317362568,41
0.95735182762146,0.00935829084948974,0.05984020233154297,0.001410638181471303,500,5,10,0.25,10,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.25, 'rfr__max_depth': 10, 'rfr__bootstrap': False}",-105131.3032227926,-109753.89433737156,-112695.0497784997,-103815.04131134831,-104952.34274943286,-107269.526279889,3390.669362606916,47,-289.6881807193319,-292.834387786202,-296.48065736296707,-282.65523655077254,-294.41262553432153,-291.214217590719,4.820271728559362,47
1.903022003173828,0.016303192767006973,0.12765874862670898,0.006764325229821162,1000,20,10,0.25,30,False,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.25, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-104899.9897435959,-109754.62020329741,-111935.11938532662,-104116.23622616976,-104464.89369626707,-107034.17185093134,3196.5730958745476,46,-288.81849035777793,-292.3763349530571,-295.0002956195261,-282.80217469913856,-293.6914374593482,-290.5377466177696,4.382588996924622,45
1.685314130783081,0.010730942384164728,0.06842222213745117,0.0067216917025474205,500,20,5,0.5,30,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.5, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-91962.82745496262,-100608.70001660228,-103336.08454458023,-97657.73768548424,-98682.9009339685,-98449.65012711957,3776.2186741644414,19,-270.6995928508053,-278.8090284950349,-282.02785113207466,-274.4781824467968,-280.4577698595609,-277.29448495685455,4.150400717329361,21
1.8253890514373778,0.0034389101676512027,0.06880340576171876,0.00759731111751336,500,10,5,0.5,20,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.5, 'rfr__max_depth': 20, 'rfr__bootstrap': False}",-92169.26121048367,-100593.89284466268,-102683.22279410061,-98120.70970224873,-99515.74652676971,-98616.56661565308,3551.609693316203,21,-270.3750380427001,-277.8323785458148,-281.2053422984644,-274.42501705072715,-281.3989610212719,-277.04734739179565,4.2009062166304885,18
0.4224705696105957,0.0076905664044387085,0.015557432174682617,0.0010166643652256772,100,20,3,0.75,30,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.75, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-93781.50253742625,-100240.38100041563,-104777.56648262849,-99687.11762005975,-100686.54207600711,-99834.62194330744,3520.9408149232045,27,-272.80101395537037,-278.4936745823001,-284.28631953331757,-276.34414466967974,-282.5442040532417,-278.8938713587819,4.151809270249012,27
1.5981965065002441,0.013881079964360507,0.07061185836791992,0.008081931234250593,500,10,3,0.5,30,True,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.5, 'rfr__max_depth': 30, 'rfr__bootstrap': True}",-91293.44804864908,-99912.21819214668,-101480.86398292528,-96265.02984325752,-97193.71103575414,-97229.05422054653,3505.403483838578,1,-269.0168249503072,-277.3761501903377,-279.3428709824061,-273.23583043121437,-279.1178635961526,-275.6179080300836,3.961440267576239,2
0.35659136772155764,0.007152560128529335,0.016289138793945314,0.0010518606697123571,100,5,5,0.75,30,True,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.75, 'rfr__max_depth': 30, 'rfr__bootstrap': True}",-90856.95869863631,-99684.87682710867,-102687.33380740508,-96583.19368141684,-97806.26643380252,-97523.7258896739,3917.7451391271475,8,-268.2021374808291,-277.6687799056974,-280.87535987782655,-273.0773182206944,-280.2034829356916,-276.0054156841478,4.765958688562724,5
2.072057104110718,0.021600287813361613,0.125166654586792,0.0014813978740043135,1000,10,10,0.25,20,True,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.25, 'rfr__max_depth': 20, 'rfr__bootstrap': True}",-106357.28366886929,-111004.68265854257,-114837.02397950777,-106361.08701021413,-106119.42493450102,-108935.90045032697,3473.170937916202,50,-290.9455927234931,-294.0299507686215,-298.6712020551537,-286.83776706394605,-296.5686726121829,-293.41063704467945,4.17874013675761,49
1.858335542678833,0.0257015939604495,0.06843852996826172,0.007305747153969272,500,10,5,0.75,30,True,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.75, 'rfr__max_depth': 30, 'rfr__bootstrap': True}",-91241.97569266133,-99716.94171820342,-101607.80357200452,-96941.2260246593,-97786.1245924943,-97458.81432000457,3502.4952058808035,6,-268.671801067429,-277.8686222865183,-279.3408017187837,-273.84053605940403,-280.62006229497456,-276.0683646854219,4.343733335239441,8
0.22397360801696778,0.0047039743602650015,0.01330409049987793,0.004639435407460982,100,5,5,0.25,10,True,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.25, 'rfr__max_depth': 10, 'rfr__bootstrap': True}",-102417.26424282572,-109092.12489716453,-111205.91924232659,-102626.86819973213,-103077.97915033498,-105684.03114647679,3712.5697151406525,42,-285.519801433469,-292.3678153681533,-295.5728880307632,-281.42030451022885,-291.9049079706384,-289.35714346265047,5.136328187574649,43
2.2615021228790284,0.009266208152623802,0.12785806655883789,0.004861383890773226,1000,10,5,0.25,30,True,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.25, 'rfr__max_depth': 30, 'rfr__bootstrap': True}",-102469.80726090039,-107347.30991279357,-110034.98955508793,-102373.6165732257,-102480.63042973701,-104941.27074634892,3177.7578967997442,39,-285.62661854338893,-289.42857100646285,-293.0353543298431,-280.5825791181125,-290.6931374188624,-287.87325208333397,4.363928148129908,39
0.4106122016906738,0.00566007626304489,0.018745613098144532,0.006247305898035175,100,10,10,0.75,30,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.75, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-92534.23679624329,-101415.61567537698,-104792.16522122461,-97996.0657033259,-100039.50389269165,-99355.51745777248,4065.6354964310235,26,-270.63105616361145,-280.613026832444,-283.41480352225426,-275.0918416724151,-282.0928138049495,-278.3687083991349,4.795375271193319,26
1.2571735858917237,0.016189750699001856,0.07622852325439453,0.005105910517700444,500,5,3,0.25,20,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.25, 'rfr__max_depth': 20, 'rfr__bootstrap': False}",-99380.86054102462,-104709.06051140564,-107209.1834223462,-100913.00990340974,-101183.27664768462,-102679.07820517417,2859.2775572950422,35,-281.7657572423781,-285.20055818532495,-288.5559206355691,-276.8717099414646,-286.61878846170816,-283.802546893289,4.114978177657393,35
2.3045741081237794,0.007019406111344346,0.07492685317993164,0.012857640959544905,500,10,5,0.75,20,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.75, 'rfr__max_depth': 20, 'rfr__bootstrap': False}",-93995.78917814227,-101233.25682047445,-105171.51608034031,-100159.60797371973,-101632.99726199408,-100438.63346293417,3634.452000968115,30,-271.68098865161375,-278.03120779217784,-283.98727767556426,-276.61726537942945,-284.15522766428035,-278.89439343261313,4.723927537127893,28
0.20209012031555176,0.007933432369061709,0.014206838607788087,0.0028238096513461867,100,20,10,0.25,30,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.25, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-105018.1409556367,-108649.45389830362,-112154.68742880804,-104382.6681919438,-104930.99341467262,-107027.18877787297,2978.146531601325,45,-289.0625470155656,-291.5444060796042,-294.7048304729522,-283.55662694564194,-294.23946159667565,-290.6215744220879,4.0732727665185555,46
0.24076242446899415,0.002749466488255703,0.016954708099365234,0.0012614643287344747,100,10,3,0.25,20,True,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.25, 'rfr__max_depth': 20, 'rfr__bootstrap': True}",-101995.1386820248,-106084.46817218917,-109887.59763793154,-101299.30014402866,-101962.65837262307,-104245.83260175945,3291.524105626672,37,-284.57362111101224,-287.705101483311,-292.72068025078096,-278.39579234455516,-289.095803774175,-286.49819979276685,4.822373497445711,37
0.32916741371154784,0.005377049827100292,0.01596078872680664,6.868110563135462e-06,100,10,3,0.5,10,True,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.5, 'rfr__max_depth': 10, 'rfr__bootstrap': True}",-91381.48118718699,-99434.0952654371,-102564.86826161765,-96539.38879223359,-97625.25948232667,-97509.01859776041,3681.519920384681,7,-269.81844102938106,-277.2388457069871,-281.02088914449547,-273.2287278195646,-280.15340559366564,-276.2920618588188,4.229892780459975,9
0.23437285423278809,0.0020919644466841788,0.016956186294555663,2.6999259313377505e-06,100,5,5,0.25,20,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.25, 'rfr__max_depth': 20, 'rfr__bootstrap': False}",-101015.93943572808,-106344.96875222176,-109067.25936236874,-101223.79564791558,-102391.53529717552,-104008.69969908193,3174.104731309195,36,-283.87741491938533,-287.5182449198946,-291.1946984918781,-278.0320796047051,-289.3088668999186,-285.98626096715634,4.652542085027728,36
0.23038358688354493,0.004136340938985872,0.016156864166259766,0.0007461745159830504,100,5,5,0.25,20,True,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.25, 'rfr__max_depth': 20, 'rfr__bootstrap': True}",-103346.31591345735,-107206.71264234636,-109239.63429707919,-104271.77189204909,-101992.37988110712,-105211.36292520782,2643.160011916145,40,-287.24395443174996,-289.4092773566179,-291.57169591072693,-283.2133398929551,-289.48368859254845,-288.1843912369197,2.8375385610285395,40
0.21319780349731446,0.0019480352946652326,0.015989017486572266,0.000582064073963613,100,20,3,0.25,10,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.25, 'rfr__max_depth': 10, 'rfr__bootstrap': False}",-103960.95681836709,-108585.32305098945,-110303.88265116725,-103394.54422254892,-105080.22626208066,-106264.98660103069,2707.3341978097146,44,-287.97261775282436,-291.4118691204585,-293.7498273179361,-282.25457581309195,-294.2081396876088,-289.9194059383839,4.423401780429555,44
3.996768426895142,0.020072588468436837,0.11975135803222656,0.0064405360177894186,1000,20,3,0.75,10,False,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.75, 'rfr__max_depth': 10, 'rfr__bootstrap': False}",-93956.46552819524,-100313.81194485426,-105038.6815986833,-99288.52803255511,-100828.6627533935,-99885.22997153629,3553.5366221185627,28,-272.9473964538686,-278.45668220901337,-285.13526916787947,-275.6846827602975,-282.6087246576407,-278.96655104973996,4.440255838668374,29
2.0118155479431152,0.011265944761891319,0.11329689025878906,0.0020538219824735218,1000,5,10,0.25,20,True,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.25, 'rfr__max_depth': 20, 'rfr__bootstrap': True}",-106906.25606077182,-111957.24605120506,-114379.80671725681,-105532.05636694355,-105819.57413418015,-108918.98786607147,3582.745179503522,49,-291.8269439637004,-295.5019108452713,-298.2353185826702,-285.3324585200837,-296.16407062267444,-293.41214050688006,4.538665338367403,50
1.9521743297576903,0.02266029955602906,0.0624330997467041,0.0022388632738818233,500,10,10,0.75,30,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.75, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-92530.6979338926,-101288.84160593912,-104560.65288717633,-98278.11853549568,-99671.3347391848,-99265.92914033771,3965.5954734115103,25,-270.3900878448411,-280.4009202879516,-283.17496723951194,-275.16423017594536,-281.5833334074618,-278.1427077911424,4.716683334805113,25
